# timestamp	script_anchor	manifest_anchor	note
2026-07-30T05:33:55Z	34532e934784d911c59e35e064b9b7b8cbb7600030095d545521cd97dd6c9de6	1ab9bcd45bf679c5cef79f582146c817d5f5f52bebe91fbb45fee55fc4573d77	simulated bootstrap
2026-07-30T16:07:31Z	35f3dc5d6f936c4d77aa6425a895cd74211d53688449a5c522c5cd1fdb7550e5	b4445382b00e0ebe6d2234052268d4742ac647fe583851acba7d45828695dcf4	first BOOTSTRAP promote — encrypted APFS medium
2026-07-30T16:18:05Z	35f3dc5d6f936c4d77aa6425a895cd74211d53688449a5c522c5cd1fdb7550e5	e5f26ff2aec58b89a295e619c7cb0c49181a13b61a5a8728687ea93c2edf482e	per-promote OTS stamps; locked-medium diagnostic
2026-07-30T16:19:12Z	35f3dc5d6f936c4d77aa6425a895cd74211d53688449a5c522c5cd1fdb7550e5	eb4e5fb7e106cca740c82db4420bd35dbb562d45048bed7b4356f55640e27c3d	final bootstrap state — source committed and pushed
2026-07-30T17:28:35Z	34987793b1f25e17f76a70d6f956c962f4c94e3366a720ce5078b265c3f99d71	58e33fd2cdb68a5dc2656f7be8cb099eabfb788714527d5ee8f5c30cf6c3ba93	oid-aware tg_src; retire promote-before-commit
2026-07-30T17:45:53Z	7a352054bc87d0a64a7c0bd8ed701e7eb0b2d8d00d7b15e3b51dfdff17a38cbb	d7b922ea684c6f3b7fbf028e7b8cf426340baa42972df9410e37c30c51b031ec	reason routing + lfs-check could-not-look
2026-07-30T18:59:32Z	7a352054bc87d0a64a7c0bd8ed701e7eb0b2d8d00d7b15e3b51dfdff17a38cbb	bc54495708f93b6916e26ac3c2b1a3555f65ad3d2e982aae715c582987318455	promote
2026-07-31T00:23:48Z	594b40c503a0a192e0de1907f193e285599c09fc97474dbabb31daa5f4131997	70fe16c76554f1a7eb38e351ead0e29fd2f95e98512f70dd276dac4c55991df1	org Team upgrade: all private repos protected; 3 repos transferred to via-balaena; origins repointed
2026-07-31T00:37:28Z	594b40c503a0a192e0de1907f193e285599c09fc97474dbabb31daa5f4131997	a7bbd750692942d375b10a9eacb7525b0b445acfc33fba0cf368debaebfd3e4c	correct four docs the Team upgrade turned false
2026-07-31T00:44:15Z	594b40c503a0a192e0de1907f193e285599c09fc97474dbabb31daa5f4131997	56ed24c58fbd32f5ab703197f20f451cc2cd1fdc82739034583902e3aa2ff249	session memory: Team upgrade + protection
2026-07-31T00:53:30Z	594b40c503a0a192e0de1907f193e285599c09fc97474dbabb31daa5f4131997	7c2546e8829f15ed2e4bcfd81cbf63a8fced28d8a3f1ed46aaa8a0536a954ce0	anchor-recording rule: promote last, record off-machine, write nothing back
2026-07-31T01:14:13Z	594b40c503a0a192e0de1907f193e285599c09fc97474dbabb31daa5f4131997	35cf3d9761bfd4ef6b4f5483e28651d71e1cf772e7f5537ee402d1088f9013a1	measured force-push/deletion refusal; fix the USB-restore procedure it broke
2026-07-31T01:26:42Z	594b40c503a0a192e0de1907f193e285599c09fc97474dbabb31daa5f4131997	da981feb57055953ff2f01ceaf75c326203ab776c28bb6a0d6c198291bc18b6d	OTS layer verified: 11/11 block merkle roots match independent explorers
